,income,income_index,disparity,capacity,workload,total,actual,actual_avg
0,1e-06,0,1,0.001,1e-06,31.535999999999987,17.69385699999975,5.61068524860469e-07
1,1e-06,0,1,0.0013257113655901094,1e-06,31.535999999999987,17.989871999999803,5.704550989345447e-07
2,1e-06,0,1,0.0017575106248547913,1e-06,31.535999999999987,18.333336999999826,5.813463026382492e-07
3,1e-06,0,1,0.002329951810515372,1e-06,31.535999999999987,18.732281999999877,5.939967656012138e-07
4,1e-06,0,1,0.0030888435964774815,1e-06,31.535999999999987,19.198386999999926,6.087768581938079e-07
5,1e-06,0,1,0.004094915062380427,1e-06,31.535999999999987,19.744426999999973,6.260916730086242e-07
6,1e-06,0,1,0.005428675439323859,1e-06,31.535999999999987,20.389017000000056,6.465314878234417e-07
7,1e-06,0,1,0.0071968567300115215,1e-06,31.535999999999987,21.158072000000125,6.709180618975179e-07
8,1e-06,0,1,0.009540954763499945,1e-06,31.535999999999987,22.089917000000245,7.004666730086329e-07
9,1e-06,0,1,0.012648552168552958,1e-06,31.535999999999987,23.248792000000346,7.372143581938213e-07
10,1e-06,0,1,0.016768329368110083,1e-06,31.535999999999987,24.75904000000052,7.851040081177232e-07
11,1e-06,0,1,0.022229964825261943,1e-06,31.535999999999987,26.977620000000798,8.554547184170724e-07
12,1e-06,0,1,0.029470517025518096,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
13,1e-06,0,1,0.03906939937054617,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
14,1e-06,0,1,0.0517947467923121,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
15,1e-06,0,1,0.06866488450043001,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
16,1e-06,0,1,0.09102981779915217,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
17,1e-06,0,1,0.1206792640639329,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
18,1e-06,0,1,0.15998587196060574,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
19,1e-06,0,1,0.21209508879201905,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
20,1e-06,0,1,0.28117686979742307,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
21,1e-06,0,1,0.3727593720314938,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
22,1e-06,0,1,0.49417133613238334,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
23,1e-06,0,1,0.655128556859551,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
24,1e-06,0,1,0.868511373751352,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
25,1e-06,0,1,1.151395399326447,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
26,1e-06,0,1,1.5264179671752334,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
27,1e-06,0,1,2.023589647725158,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
28,1e-06,0,1,2.6826957952797246,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
29,1e-06,0,1,3.5564803062231287,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
30,1e-06,0,1,4.714866363457395,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
31,1e-06,0,1,6.25055192527397,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
32,1e-06,0,1,8.286427728546842,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
33,1e-06,0,1,10.985411419875572,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
34,1e-06,0,1,14.563484775012444,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
35,1e-06,0,1,19.306977288832496,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
36,1e-06,0,1,25.595479226995334,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
37,1e-06,0,1,33.9322177189533,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
38,1e-06,0,1,44.98432668969444,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
39,1e-06,0,1,59.636233165946365,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
40,1e-06,0,1,79.06043210907701,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
41,1e-06,0,1,104.81131341546852,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
42,1e-06,0,1,138.9495494373136,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07
