,Unnamed: 0,income,income_index,disparity,capacity,workload,total,actual,actual_avg,type
0,0,1e-06,0,1,0.001,1e-06,31.535999999999987,17.69385699999975,5.61068524860469e-07,diurnal
1,1,1e-06,0,1,0.0013257113655901,1e-06,31.535999999999987,17.989871999999803,5.704550989345447e-07,diurnal
2,2,1e-06,0,1,0.0017575106248547,1e-06,31.535999999999987,18.333336999999823,5.813463026382492e-07,diurnal
3,3,1e-06,0,1,0.0023299518105153,1e-06,31.535999999999987,18.73228199999988,5.939967656012138e-07,diurnal
4,4,1e-06,0,1,0.0030888435964774,1e-06,31.535999999999987,19.19838699999993,6.087768581938079e-07,diurnal
5,5,1e-06,0,1,0.0040949150623804,1e-06,31.535999999999987,19.744426999999973,6.260916730086242e-07,diurnal
6,6,1e-06,0,1,0.0054286754393238,1e-06,31.535999999999987,20.389017000000056,6.465314878234417e-07,diurnal
7,7,1e-06,0,1,0.0071968567300115,1e-06,31.535999999999987,21.158072000000125,6.709180618975179e-07,diurnal
8,8,1e-06,0,1,0.0095409547634999,1e-06,31.535999999999987,22.089917000000245,7.004666730086329e-07,diurnal
9,9,1e-06,0,1,0.0126485521685529,1e-06,31.535999999999987,23.248792000000343,7.372143581938213e-07,diurnal
10,10,1e-06,0,1,0.01676832936811,1e-06,31.535999999999987,24.75904000000052,7.851040081177232e-07,diurnal
11,11,1e-06,0,1,0.0222299648252619,1e-06,31.535999999999987,26.9776200000008,8.554547184170724e-07,diurnal
12,12,1e-06,0,1,0.029470517025518,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
13,13,1e-06,0,1,0.0390693993705461,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
14,14,1e-06,0,1,0.0517947467923121,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
15,15,1e-06,0,1,0.06866488450043,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
16,16,1e-06,0,1,0.0910298177991521,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
17,17,1e-06,0,1,0.1206792640639329,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
18,18,1e-06,0,1,0.1599858719606057,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
19,19,1e-06,0,1,0.212095088792019,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
20,20,1e-06,0,1,0.281176869797423,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
21,21,1e-06,0,1,0.3727593720314938,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
22,22,1e-06,0,1,0.4941713361323833,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
23,23,1e-06,0,1,0.655128556859551,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
24,24,1e-06,0,1,0.868511373751352,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
25,25,1e-06,0,1,1.151395399326447,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
26,26,1e-06,0,1,1.5264179671752334,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
27,27,1e-06,0,1,2.023589647725158,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
28,28,1e-06,0,1,2.682695795279725,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
29,29,1e-06,0,1,3.5564803062231287,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
30,30,1e-06,0,1,4.714866363457395,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
31,31,1e-06,0,1,6.25055192527397,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
32,32,1e-06,0,1,8.286427728546842,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
33,33,1e-06,0,1,10.985411419875572,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
34,34,1e-06,0,1,14.563484775012444,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
35,35,1e-06,0,1,19.306977288832496,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
36,36,1e-06,0,1,25.595479226995334,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
37,37,1e-06,0,1,33.9322177189533,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
38,38,1e-06,0,1,44.98432668969444,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
39,39,1e-06,0,1,59.636233165946365,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
40,40,1e-06,0,1,79.06043210907701,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
41,41,1e-06,0,1,104.81131341546852,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
42,42,1e-06,0,1,138.9495494373136,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
43,43,1e-06,0,1,184.20699693267164,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
44,44,1e-06,0,1,244.205309454865,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
45,45,1e-06,0,1,323.745754281764,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
46,46,1e-06,0,1,429.1934260128778,1e-06,31.535999999999987,31.513788000001306,9.99295662100498e-07,diurnal
