,income,income_index,disparity,capacity,workload,total,actual,actual_avg,type
0,1e-06,0,1,0.001,1e-06,26.783999990044112,4.579928901745628,1.7099514753584433e-07,SetupC
1,1e-06,0,1,0.0010718913192051276,1e-06,26.783999990044112,4.621395663219,1.7254334078252776e-07,SetupC
2,1e-06,0,1,0.0011489510001873086,1e-06,26.783999990044112,4.663886135170075,1.7412975504266452e-07,SetupC
3,1e-06,0,1,0.0012315506032928262,1e-06,26.783999990044112,4.707425391042897,1.7575532645246008e-07,SetupC
4,1e-06,0,1,0.001320088400831418,1e-06,26.783999990044112,4.752812386398634,1.7744988462870268e-07,SetupC
5,1e-06,0,1,0.0014149912974345759,1e-06,26.783999990044112,4.801010823557552,1.7924941013440322e-07,SetupC
6,1e-06,0,1,0.0015167168884709225,1e-06,26.783999990044112,4.851177082311213,1.8112240576401529e-07,SetupC
7,1e-06,0,1,0.0016257556664437934,1e-06,26.783999990044112,4.905972189330774,1.8316822298302957e-07,SetupC
8,1e-06,0,1,0.0017426333860096508,1e-06,26.783999990044112,4.964988912278549,1.8537165746073298e-07,SetupC
9,1e-06,0,1,0.0018679135990207828,1e-06,26.783999990044112,5.024757204996431,1.8760315237048245e-07,SetupC
10,1e-06,0,1,0.0020022003718155844,1e-06,26.783999990044112,5.089593423748996,1.9002386217386726e-07,SetupC
11,1e-06,0,1,0.0021461411978584036,1e-06,26.783999990044112,5.155026706157927,1.9246686380540028e-07,SetupC
12,1e-06,0,1,0.002300430119772917,1e-06,26.783999990044112,5.221463992563967,1.9494735069386528e-07,SetupC
13,1e-06,0,1,0.002465811075822604,1e-06,26.783999990044112,5.290526088708244,1.975258368609375e-07,SetupC
14,1e-06,0,1,0.0026430814869741054,1e-06,26.783999990044112,5.365574848132638,2.0032783967920509e-07,SetupC
15,1e-06,0,1,0.002833096101839324,1e-06,26.783999990044112,5.442762906634085,2.0320971486430448e-07,SetupC
16,1e-06,0,1,0.0030367711180354575,1e-06,26.783999990044112,5.526931807413649,2.0635222513367693e-07,SetupC
17,1e-06,0,1,0.0032550885998350564,1e-06,26.783999990044112,5.616133890701786,2.0968265312057122e-07,SetupC
18,1e-06,0,1,0.0034891012134067737,1e-06,26.783999990044112,5.706575611073551,2.130593639058568e-07,SetupC
19,1e-06,0,1,0.0037399373024787977,1e-06,26.783999990044112,5.802039630497324,2.1662358606649143e-07,SetupC
20,1e-06,0,1,0.004008806328898464,1e-06,26.783999990044112,5.905122389346916,2.2047225968916914e-07,SetupC
21,1e-06,0,1,0.00429700470432084,1e-06,26.783999990044112,6.015545078559915,2.245949752243568e-07,SetupC
22,1e-06,0,1,0.004605922041145104,1e-06,26.783999990044112,6.132252674639786,2.2895234256309972e-07,SetupC
23,1e-06,0,1,0.004937047852839003,1e-06,26.783999990044112,6.252598467566414,2.334455447630211e-07,SetupC
24,1e-06,0,1,0.005291978735958442,1e-06,26.783999990044112,6.382275501567014,2.3828713598346376e-07,SetupC
25,1e-06,0,1,0.005672426068491977,1e-06,26.783999990044112,6.523617408239901,2.43564244144535e-07,SetupC
26,1e-06,0,1,0.006080224261649421,1e-06,26.783999990044112,6.670868141030972,2.4906196284684353e-07,SetupC
27,1e-06,0,1,0.00651733960488242,1e-06,26.783999990044112,6.824942196686539,2.5481443552567223e-07,SetupC
28,1e-06,0,1,0.0069858797467852495,1e-06,26.783999990044112,6.986845198223469,2.608592078852937e-07,SetupC
29,1e-06,0,1,0.007488103857590023,1e-06,26.783999990044112,7.15463895082214,2.6712391594009925e-07,SetupC
30,1e-06,0,1,0.008026433522257174,1e-06,26.783999990044112,7.332340489595795,2.737585387676209e-07,SetupC
31,1e-06,0,1,0.008603464416684501,1e-06,26.783999990044112,7.52889153744419,2.8109692242950505e-07,SetupC
32,1e-06,0,1,0.009221978823334321,1e-06,26.783999990044112,7.739671708795925,2.889665612975195e-07,SetupC
33,1e-06,0,1,0.009884959046625586,1e-06,26.783999990044112,7.952830126296968,2.9692499380401664e-07,SetupC
34,1e-06,0,1,0.010595601792776159,1e-06,26.783999990044112,8.176462398183267,3.0527447567269775e-07,SetupC
35,1e-06,0,1,0.01135733358343105,1e-06,26.783999990044112,8.40682851185738,3.1387537067348044e-07,SetupC
36,1e-06,0,1,0.012173827277396614,1e-06,26.783999990044112,8.635633756956473,3.224179894525148e-07,SetupC
37,1e-06,0,1,0.013049019780144023,1e-06,26.783999990044112,8.884975005615946,3.3172733562709135e-07,SetupC
38,1e-06,0,1,0.01398713102647238,1e-06,26.783999990044112,9.1587457448542,3.4194877551215145e-07,SetupC
39,1e-06,0,1,0.014992684327860457,1e-06,26.783999990044112,9.435067549900037,3.522654613897804e-07,SetupC
40,1e-06,0,1,0.016070528182616384,1e-06,26.783999990044112,9.730667852763752,3.633019247245181e-07,SetupC
41,1e-06,0,1,0.017225859653987867,1e-06,26.783999990044112,10.038262673983281,3.747862125735386e-07,SetupC
42,1e-06,0,1,0.018464249428955436,1e-06,26.783999990044112,10.352864675518425,3.8653211885760123e-07,SetupC
43,1e-06,0,1,0.019791668678535563,1e-06,26.783999990044112,10.69393244232577,3.9926614472483986e-07,SetupC
44,1e-06,0,1,0.021214517849106298,1e-06,26.783999990044112,11.070130187688761,4.133117752031816e-07,SetupC
45,1e-06,0,1,0.022739657523579274,1e-06,26.783999990044112,11.453911408069448,4.2764054051992474e-07,SetupC
46,1e-06,0,1,0.024374441501222206,1e-06,26.783999990044112,11.816365773807247,4.411730514112451e-07,SetupC
47,1e-06,0,1,0.026126752255633278,1e-06,26.783999990044112,12.190922951889847,4.5515743005573286e-07,SetupC
48,1e-06,0,1,0.02800503894183631,1e-06,26.783999990044112,12.564682732780776,4.6911203726634906e-07,SetupC
49,1e-06,0,1,0.03001835813575589,1e-06,26.783999990044112,12.961730994069146,4.839361376998684e-07,SetupC
50,1e-06,0,1,0.032176417502507354,1e-06,26.783999990044112,13.355400897126016,4.986341045455926e-07,SetupC
51,1e-06,0,1,0.03448962260405758,1e-06,26.783999990044112,13.774248213303618,5.142720893617943e-07,SetupC
52,1e-06,0,1,0.03696912707195026,1e-06,26.783999990044112,14.185064768635561,5.296102395811958e-07,SetupC
53,1e-06,0,1,0.03962688638701478,1e-06,26.783999990044112,14.51547985327103,5.419465394140984e-07,SetupC
54,1e-06,0,1,0.04247571552536898,1e-06,26.783999990044112,14.74364387160266,5.50465217501463e-07,SetupC
55,1e-06,0,1,0.04552935074866948,1e-06,26.783999990044112,14.877254806612049,5.554536839240803e-07,SetupC
56,1e-06,0,1,0.04880251583654431,1e-06,26.783999990044112,15.00078722196935,5.600658611090645e-07,SetupC
57,1e-06,0,1,0.052310993080562605,1e-06,26.783999990044112,15.1349825740042,5.65076147188195e-07,SetupC
58,1e-06,0,1,0.05607169938205458,1e-06,26.783999990044112,15.245419086844667,5.691993788390842e-07,SetupC
59,1e-06,0,1,0.06010276782070382,1e-06,26.783999990044112,15.340056503322405,5.727327391466764e-07,SetupC
60,1e-06,0,1,0.0644236350872137,1e-06,26.783999990044112,15.430482279378142,5.761088546387314e-07,SetupC
61,1e-06,0,1,0.06905513520162328,1e-06,26.783999990044112,15.501595321942306,5.787639144586223e-07,SetupC
62,1e-06,0,1,0.07401959996915641,1e-06,26.783999990044112,15.55609895653067,5.807988493315469e-07,SetupC
63,1e-06,0,1,0.07934096665797492,1e-06,26.783999990044112,15.604660329588688,5.826119253265549e-07,SetupC
64,1e-06,0,1,0.08504489341802678,1e-06,26.783999990044112,15.644403407075464,5.84095763513604e-07,SetupC
65,1e-06,0,1,0.09115888299750818,1e-06,26.783999990044112,15.68541226413074,5.856268605487065e-07,SetupC
66,1e-06,0,1,0.09771241535346496,1e-06,26.783999990044112,15.717775861198653,5.868351801916838e-07,SetupC
67,1e-06,0,1,0.10473708979594497,1e-06,26.783999990044112,15.747612884526147,5.879491682721473e-07,SetupC
68,1e-06,0,1,0.11226677735108136,1e-06,26.783999990044112,15.781411947191659,5.89211082120823e-07,SetupC
69,1e-06,0,1,0.12033778407775893,1e-06,26.783999990044112,15.824478967371798,5.908190222499427e-07,SetupC
70,1e-06,0,1,0.1289890261253308,1e-06,26.783999990044112,15.86862969351452,5.924674233698186e-07,SetupC
