,Unnamed: 0,income,income_index,disparity,capacity,workload,total,actual,actual_avg,type
0,0,1e-06,0,1,0.001,1e-06,31.536000000000048,12.841090999999803,4.071883244545853e-07,season
1,1,1e-06,0,1,0.0013257113655901,1e-06,31.536000000000048,13.018700999999794,4.128203006088215e-07,season
2,2,1e-06,0,1,0.0017575106248547,1e-06,31.536000000000048,13.223390999999776,4.193109779299777e-07,season
3,3,1e-06,0,1,0.0023299518105153,1e-06,31.536000000000048,13.459658999999752,4.26802987062397e-07,season
4,4,1e-06,0,1,0.0030888435964774,1e-06,31.536000000000048,13.733049999999723,4.354721588026295e-07,season
5,5,1e-06,0,1,0.0040949150623804,1e-06,31.536000000000048,14.0510299999997,4.455552384576262e-07,season
6,6,1e-06,0,1,0.0054286754393238,1e-06,31.536000000000048,14.423143999999672,4.573548959918719e-07,season
7,7,1e-06,0,1,0.0071968567300115,1e-06,31.536000000000048,14.863653999999636,4.713233764586389e-07,season
8,8,1e-06,0,1,0.0095409547634999,1e-06,31.536000000000048,15.3953829999996,4.881843924403729e-07,season
9,9,1e-06,0,1,0.0126485521685529,1e-06,31.536000000000048,16.06305899999956,5.093562595129236e-07,season
10,10,1e-06,0,1,0.01676832936811,1e-06,31.536000000000048,16.99481299999967,5.389019850329677e-07,season
11,11,1e-06,0,1,0.0222299648252619,1e-06,31.536000000000048,18.458852999999763,5.853263888888814e-07,season
12,12,1e-06,0,1,0.029470517025518,1e-06,31.536000000000048,18.89493299999979,5.991543949771623e-07,season
13,13,1e-06,0,1,0.0390693993705461,1e-06,31.536000000000048,18.918914999999792,5.99914859208517e-07,season
14,14,1e-06,0,1,0.0517947467923121,1e-06,31.536000000000048,18.9471339999998,6.00809677828507e-07,season
15,15,1e-06,0,1,0.06866488450043,1e-06,31.536000000000048,18.975504999999803,6.017093163368786e-07,season
16,16,1e-06,0,1,0.0910298177991521,1e-06,31.536000000000048,19.01350199999981,6.02914193302886e-07,season
17,17,1e-06,0,1,0.1206792640639329,1e-06,31.536000000000048,19.06104799999981,6.044218670725462e-07,season
18,18,1e-06,0,1,0.1599858719606057,1e-06,31.536000000000048,19.12019199999982,6.062973110096342e-07,season
19,19,1e-06,0,1,0.212095088792019,1e-06,31.536000000000048,19.20144799999984,6.088739218670673e-07,season
20,20,1e-06,0,1,0.281176869797423,1e-06,31.536000000000048,19.296423999999853,6.118855910705179e-07,season
21,21,1e-06,0,1,0.3727593720314938,1e-06,31.536000000000048,19.434423999999872,6.16261542364278e-07,season
22,22,1e-06,0,1,0.4941713361323833,1e-06,31.536000000000048,19.606458999999894,6.217167364282058e-07,season
23,23,1e-06,0,1,0.655128556859551,1e-06,31.536000000000048,19.861238999999937,6.297957572298306e-07,season
24,24,1e-06,0,1,0.868511373751352,1e-06,31.536000000000048,20.27108399999999,6.427918569254183e-07,season
25,25,1e-06,0,1,1.151395399326447,1e-06,31.536000000000048,20.734199000000054,6.574771372399814e-07,season
26,26,1e-06,0,1,1.5264179671752334,1e-06,31.536000000000048,21.30095700000013,6.754489155251182e-07,season
27,27,1e-06,0,1,2.023589647725158,1e-06,31.536000000000048,21.94942900000021,6.960118277524167e-07,season
28,28,1e-06,0,1,2.682695795279725,1e-06,31.536000000000048,22.73240200000032,7.208397387113241e-07,season
29,29,1e-06,0,1,3.5564803062231287,1e-06,31.536000000000048,23.680034000000443,7.508889523084869e-07,season
30,30,1e-06,0,1,4.714866363457395,1e-06,31.536000000000048,24.8607330000006,7.883286719939308e-07,season
31,31,1e-06,0,1,6.25055192527397,1e-06,31.536000000000048,26.40894200000081,8.374220573313294e-07,season
32,32,1e-06,0,1,8.286427728546842,1e-06,31.536000000000048,28.723065000001117,9.108024162861844e-07,season
33,33,1e-06,0,1,10.985411419875572,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
34,34,1e-06,0,1,14.563484775012444,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
35,35,1e-06,0,1,19.306977288832496,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
36,36,1e-06,0,1,25.595479226995334,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
37,37,1e-06,0,1,33.9322177189533,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
38,38,1e-06,0,1,44.98432668969444,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
39,39,1e-06,0,1,59.636233165946365,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
40,40,1e-06,0,1,79.06043210907701,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
41,41,1e-06,0,1,104.81131341546852,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
42,42,1e-06,0,1,138.9495494373136,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
43,43,1e-06,0,1,184.20699693267164,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
44,44,1e-06,0,1,244.205309454865,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
45,45,1e-06,0,1,323.745754281764,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
46,46,1e-06,0,1,429.1934260128778,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
47,47,1e-06,0,1,568.9866029018293,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
48,48,1e-06,0,1,754.3120063354608,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
49,49,1e-06,0,1,1000.0,1e-06,31.536000000000048,31.51445800000153,9.99316907661134e-07,season
50,50,1.6681005372000591e-06,1,1,0.001,1.6681005372000591e-06,52.60521854114099,20.977992321414835,6.652077727490752e-07,season
51,51,1.6681005372000591e-06,1,1,0.0013257113655901,1.6681005372000591e-06,52.60521854114099,21.207751485107146,6.724933880361221e-07,season
52,52,1.6681005372000591e-06,1,1,0.0017575106248547,1.6681005372000591e-06,52.60521854114099,21.47196526539533,6.808715520483044e-07,season
53,53,1.6681005372000591e-06,1,1,0.0023299518105153,1.6681005372000591e-06,52.60521854114099,21.776173424163403,6.905179294826041e-07,season
54,54,1.6681005372000591e-06,1,1,0.0030888435964774,1.6681005372000591e-06,52.60521854114099,22.126596308314607,7.016297662453896e-07,season
55,55,1.6681005372000591e-06,1,1,0.0040949150623804,1.6681005372000591e-06,52.60521854114099,22.53140093807907,7.144660368492856e-07,season
