,income,income_index,disparity,capacity,workload,total,actual,actual_avg,type
0,1e-06,0,1,0.001,1e-06,32.399999438645374,1.4284592176063875,4.408828827947641e-08,SetupB
1,1e-06,0,1,0.0010718913192051276,1e-06,32.399999438645374,1.4822544921477796,4.574863779650968e-08,SetupB
2,1e-06,0,1,0.0011489510001873086,1e-06,32.399999438645374,1.5386652292231473,4.748971154057079e-08,SetupB
3,1e-06,0,1,0.0012315506032928262,1e-06,32.399999438645374,1.5985607609629506,4.933834077509796e-08,SetupB
4,1e-06,0,1,0.001320088400831418,1e-06,32.399999438645374,1.6624444127800637,5.131006024944047e-08,SetupB
5,1e-06,0,1,0.0014149912974345759,1e-06,32.399999438645374,1.7300499455836031,5.3396652700098274e-08,SetupB
6,1e-06,0,1,0.0015167168884709225,1e-06,32.399999438645374,1.8017137615300616,5.5608500919292876e-08,SetupB
7,1e-06,0,1,0.0016257556664437934,1e-06,32.399999438645374,1.8770687852668437,5.793427541034278e-08,SetupB
8,1e-06,0,1,0.0017426333860096508,1e-06,32.399999438645374,1.9567890093638083,6.039477843231979e-08,SetupB
9,1e-06,0,1,0.0018679135990207828,1e-06,32.399999438645374,2.041874965787528,6.302089063006935e-08,SetupB
10,1e-06,0,1,0.0020022003718155844,1e-06,32.399999438645374,2.131699092372953,6.579324278303199e-08,SetupB
11,1e-06,0,1,0.0021461411978584036,1e-06,32.399999438645374,2.2275784770522713,6.875248579095201e-08,SetupB
12,1e-06,0,1,0.002300430119772917,1e-06,32.399999438645374,2.3287066988279332,7.18737300938221e-08,SetupB
13,1e-06,0,1,0.002465811075822604,1e-06,32.399999438645374,2.4355444146382585,7.517119351154518e-08,SetupB
14,1e-06,0,1,0.0026430814869741054,1e-06,32.399999438645374,2.547754973720098,7.86344855788477e-08,SetupB
15,1e-06,0,1,0.002833096101839324,1e-06,32.399999438645374,2.6672066020798235,8.232126764561275e-08,SetupB
16,1e-06,0,1,0.0030367711180354575,1e-06,32.399999438645374,2.793378563205035,8.621546758237848e-08,SetupB
17,1e-06,0,1,0.0032550885998350564,1e-06,32.399999438645374,2.92706986667458,9.034174620144958e-08,SetupB
18,1e-06,0,1,0.0034891012134067737,1e-06,32.399999438645374,3.0692963604302026,9.473145686339224e-08,SetupB
19,1e-06,0,1,0.0037399373024787977,1e-06,32.399999438645374,3.220936122193789,9.941170075755591e-08,SetupB
20,1e-06,0,1,0.004008806328898464,1e-06,32.399999438645374,3.379995741077432,1.043209527995684e-07,SetupB
21,1e-06,0,1,0.00429700470432084,1e-06,32.399999438645374,3.548320706315244,1.0951617258643277e-07,SetupB
22,1e-06,0,1,0.004605922041145104,1e-06,32.399999438645374,3.724214058071893,1.149449847660937e-07,SetupB
23,1e-06,0,1,0.004937047852839003,1e-06,32.399999438645374,3.9083656781142495,1.2062868200539226e-07,SetupB
24,1e-06,0,1,0.005291978735958442,1e-06,32.399999438645374,4.101501144234294,1.2658965870135972e-07,SetupB
25,1e-06,0,1,0.005672426068491977,1e-06,32.399999438645374,4.3060908495982995,1.3290416162725766e-07,SetupB
26,1e-06,0,1,0.006080224261649421,1e-06,32.399999438645374,4.521173020235726,1.3954250637379374e-07,SetupB
27,1e-06,0,1,0.00651733960488242,1e-06,32.399999438645374,4.7463066432687935,1.4649108141979124e-07,SetupB
28,1e-06,0,1,0.0069858797467852495,1e-06,32.399999438645374,4.98468554152714,1.5384846163521573e-07,SetupB
29,1e-06,0,1,0.007488103857590023,1e-06,32.399999438645374,5.237658708658344,1.6165628266502544e-07,SetupB
30,1e-06,0,1,0.008026433522257174,1e-06,32.399999438645374,5.503488500287956,1.6986091346035062e-07,SetupB
31,1e-06,0,1,0.008603464416684501,1e-06,32.399999438645374,5.781101788294811,1.7842923275221585e-07,SetupB
32,1e-06,0,1,0.009221978823334321,1e-06,32.399999438645374,6.076340221706333,1.8754153851705212e-07,SetupB
33,1e-06,0,1,0.009884959046625586,1e-06,32.399999438645374,6.39036298554535,1.9723360810350596e-07,SetupB
34,1e-06,0,1,0.010595601792776159,1e-06,32.399999438645374,6.724465308613436,2.0754541774617186e-07,SetupB
35,1e-06,0,1,0.01135733358343105,1e-06,32.399999438645374,7.081359828925003,2.185606909180781e-07,SetupB
36,1e-06,0,1,0.012173827277396614,1e-06,32.399999438645374,7.461040634174378,2.3027924514048556e-07,SetupB
37,1e-06,0,1,0.013049019780144023,1e-06,32.399999438645374,7.861088097649281,2.4262640050744745e-07,SetupB
38,1e-06,0,1,0.01398713102647238,1e-06,32.399999438645374,8.286422946852683,2.557540314652354e-07,SetupB
39,1e-06,0,1,0.014992684327860457,1e-06,32.399999438645374,8.738839244175916,2.6971751036114894e-07,SetupB
40,1e-06,0,1,0.016070528182616384,1e-06,32.399999438645374,9.218882523472386,2.845336746753897e-07,SetupB
41,1e-06,0,1,0.017225859653987867,1e-06,32.399999438645374,9.730230230669786,3.0031602593057296e-07,SetupB
42,1e-06,0,1,0.018464249428955436,1e-06,32.399999438645374,10.269160462901532,3.169496904750693e-07,SetupB
43,1e-06,0,1,0.019791668678535563,1e-06,32.399999438645374,10.836101747980313,3.344478944881836e-07,SetupB
44,1e-06,0,1,0.021214517849106298,1e-06,32.399999438645374,11.437100937270577,3.5299726935767463e-07,SetupB
45,1e-06,0,1,0.022739657523579274,1e-06,32.399999438645374,12.062847612087653,3.7231045621609075e-07,SetupB
46,1e-06,0,1,0.024374441501222206,1e-06,32.399999438645374,12.718594485580907,3.9254957598975884e-07,SetupB
47,1e-06,0,1,0.026126752255633278,1e-06,32.399999438645374,13.398407050164659,4.135314646947099e-07,SetupB
48,1e-06,0,1,0.02800503894183631,1e-06,32.399999438645374,14.089209508260366,4.3485254795792606e-07,SetupB
49,1e-06,0,1,0.03001835813575589,1e-06,32.399999438645374,14.79069000765275,4.5650320070212256e-07,SetupB
50,1e-06,0,1,0.032176417502507354,1e-06,32.399999438645374,15.498887393577252,4.783611649509938e-07,SetupB
51,1e-06,0,1,0.03448962260405758,1e-06,32.399999438645374,16.220764411999124,5.006413404703499e-07,SetupB
52,1e-06,0,1,0.03696912707195026,1e-06,32.399999438645374,16.950767841465208,5.231723313776281e-07,SetupB
53,1e-06,0,1,0.03962688638701478,1e-06,32.399999438645374,17.67926151011429,5.4565672468568e-07,SetupB
54,1e-06,0,1,0.04247571552536898,1e-06,32.399999438645374,18.41711035091036,5.684298581421637e-07,SetupB
55,1e-06,0,1,0.04552935074866948,1e-06,32.399999438645374,19.137611639513228,5.906675728253214e-07,SetupB
56,1e-06,0,1,0.04880251583654431,1e-06,32.399999438645374,19.74368291192004,6.093734936149645e-07,SetupB
57,1e-06,0,1,0.052310993080562605,1e-06,32.399999438645374,20.251195648980325,6.250374814847151e-07,SetupB
58,1e-06,0,1,0.05607169938205458,1e-06,32.399999438645374,20.669524835639223,6.379488880896872e-07,SetupB
59,1e-06,0,1,0.06010276782070382,1e-06,32.399999438645374,21.059410494322265,6.49982407215879e-07,SetupB
60,1e-06,0,1,0.0644236350872137,1e-06,32.399999438645374,21.4337972867072,6.615375658282153e-07,SetupB
61,1e-06,0,1,0.06905513520162328,1e-06,32.399999438645374,21.798407828293794,6.727909880254147e-07,SetupB
62,1e-06,0,1,0.07401959996915641,1e-06,32.399999438645374,22.170689060921564,6.8428116016532e-07,SetupB
63,1e-06,0,1,0.07934096665797492,1e-06,32.399999438645374,22.556815508576204,6.961986541523403e-07,SetupB
64,1e-06,0,1,0.08504489341802678,1e-06,32.399999438645374,22.94241861577257,7.080999956411247e-07,SetupB
65,1e-06,0,1,0.09115888299750818,1e-06,32.399999438645374,23.345044178109752,7.205267220343029e-07,SetupB
66,1e-06,0,1,0.09771241535346496,1e-06,32.399999438645374,23.773200942182104,7.337414492106661e-07,SetupB
67,1e-06,0,1,0.10473708979594497,1e-06,32.399999438645374,24.20743956039595,7.471438881084134e-07,SetupB
68,1e-06,0,1,0.11226677735108136,1e-06,32.399999438645374,24.65359619584258,7.609141673848025e-07,SetupB
69,1e-06,0,1,0.12033778407775893,1e-06,32.399999438645374,25.091647212298483,7.744342730039097e-07,SetupB
70,1e-06,0,1,0.1289890261253308,1e-06,32.399999438645374,25.555714196664255,7.887573413390276e-07,SetupB
71,1e-06,0,1,0.1382622173764655,1e-06,32.399999438645374,26.02236560973066,8.031601760659241e-07,SetupB
72,1e-06,0,1,0.14820207057988585,1e-06,32.399999438645374,26.451721753693242,8.164119211744098e-07,SetupB
73,1e-06,0,1,0.15885651294280528,1e-06,32.399999438645374,26.82483561982072,8.27927791902916e-07,SetupB
74,1e-06,0,1,0.17027691722258995,1e-06,32.399999438645374,27.16899553812771,8.385500214391467e-07,SetupB
75,1e-06,0,1,0.18251834943190426,1e-06,32.399999438645374,27.483079726998543,8.482439868616712e-07,SetupB
76,1e-06,0,1,0.1956398343517063,1e-06,32.399999438645374,27.759539541183862,8.56776705076698e-07,SetupB
77,1e-06,0,1,0.2097046401323233,1e-06,32.399999438645374,28.021517631933808,8.648624561051695e-07,SetupB
78,1e-06,0,1,0.22478058335487253,1e-06,32.399999438645374,28.18779915303916,8.699946065702887e-07,SetupB
79,1e-06,0,1,0.24094035602395245,1e-06,32.399999438645374,28.346606129115585,8.748960609875745e-07,SetupB
80,1e-06,0,1,0.2582618760682675,1e-06,32.399999438645374,28.508068249352327,8.798794643745758e-07,SetupB
81,1e-06,0,1,0.2768286630392064,1e-06,32.399999438645374,28.667065254329817,8.847867838868313e-07,SetupB
82,1e-06,0,1,0.29673024081888694,1e-06,32.399999438645374,28.79678476036392,8.887904760517963e-07,SetupB
83,1e-06,0,1,0.3180625692794119,1e-06,32.399999438645374,28.88995574571501,8.916661264104568e-07,SetupB
84,1e-06,0,1,0.3409285069746811,1e-06,32.399999438645374,28.99549555878241,8.94923531064455e-07,SetupB
85,1e-06,0,1,0.36543830709572545,1e-06,32.399999438645374,29.108930959129722,8.984246269095225e-07,SetupB
86,1e-06,0,1,0.39171014908092566,1e-06,32.399999438645374,29.2308854850741,9.021886589732676e-07,SetupB
87,1e-06,0,1,0.419870708444391,1e-06,32.399999438645374,29.354899163156237,9.06016245174185e-07,SetupB
88,1e-06,0,1,0.4500557675700497,1e-06,32.399999438645374,29.494789340525987,9.103338472389323e-07,SetupB
89,1e-06,0,1,0.48241087041653685,1e-06,32.399999438645374,29.64548764906304,9.149850339078413e-07,SetupB
90,1e-06,0,1,0.5170920242896755,1e-06,32.399999438645374,29.805700110749036,9.199298675507735e-07,SetupB
91,1e-06,0,1,0.5542664520663102,1e-06,32.399999438645374,29.978463394195852,9.252620725943837e-07,SetupB
92,1e-06,0,1,0.5941133984965034,1e-06,32.399999438645374,30.163342233535456,9.309682148945032e-07,SetupB
93,1e-06,0,1,0.6368249944718586,1e-06,32.399999438645374,30.35167102148452,9.36780837188569e-07,SetupB
94,1e-06,0,1,0.6826071834272386,1e-06,32.399999438645374,30.566447588363843,9.434097497116153e-07,SetupB
95,1e-06,0,1,0.7316807143427192,1e-06,32.399999438645374,30.797789181114375,9.505499289386495e-07,SetupB
96,1e-06,0,1,0.7842822061337682,1e-06,32.399999438645374,31.01929860421121,9.573866458583515e-07,SetupB
97,1e-06,0,1,0.8406652885618325,1e-06,32.399999438645374,31.194112769069115,9.627821497695558e-07,SetupB
98,1e-06,0,1,0.9011018251665018,1e-06,32.399999438645374,31.38367584228044,9.68632867323039e-07,SetupB
99,1e-06,0,1,0.9658832241158698,1e-06,32.399999438645374,31.58285664018115,9.747804285059877e-07,SetupB
100,1e-06,0,1,1.0353218432956617,1e-06,32.399999438645374,31.807101878466497,9.8170158424426e-07,SetupB
101,1e-06,0,1,1.1097524964120722,1e-06,32.399999438645374,31.961399966885587,9.864638753333904e-07,SetupB
102,1e-06,0,1,1.1895340673703196,1e-06,32.399999438645374,32.099476537839045,9.907255018396328e-07,SetupB
103,1e-06,0,1,1.2750512407130128,1e-06,32.399999438645374,32.23190571117785,9.9481282578897e-07,SetupB
104,1e-06,0,1,1.366716356462006,1e-06,32.399999438645374,32.36474782692345,9.989128948861202e-07,SetupB
105,1e-06,0,1,1.464971398307285,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
106,1e-06,0,1,1.5702901247293775,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
107,1e-06,0,1,1.6831803533309566,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
108,1e-06,0,1,1.8041864093920719,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
109,1e-06,0,1,1.9338917504552302,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
110,1e-06,0,1,2.07292177959537,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
111,1e-06,0,1,2.2219468609395236,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
112,1e-06,0,1,2.381685551976158,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
113,1e-06,0,1,2.5529080682395167,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
114,1e-06,0,1,2.7364399970746693,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
115,1e-06,0,1,2.9331662783900425,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
116,1e-06,0,1,3.1440354715915,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
117,1e-06,0,1,3.370064329271928,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
118,1e-06,0,1,3.6123426997094303,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
119,1e-06,0,1,3.8720387818125532,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
120,1e-06,0,1,4.150404757850472,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
121,1e-06,0,1,4.448782831127585,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
122,1e-06,0,1,4.768611697714469,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
123,1e-06,0,1,5.111433483440165,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
124,1e-06,0,1,5.478901179593939,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
125,1e-06,0,1,5.872786613189477,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
126,1e-06,0,1,6.294988990221888,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
127,1e-06,0,1,6.747544053110693,1e-06,32.399999438645374,32.399999438645374,1.0000009086010072e-06,SetupB
